percentage,gemiddeldNormTAT,gemiddeldWait
1,449.26,448.26
2,413.0,412.0
3,282.515,514.46
4,207.23166666666668,591.72
5,118.17166666666667,450.14
6,98.40899999999998,455.99
7,77.52199999999999,452.46
8,56.69351190476193,391.14
9,50.57861111111112,404.12
10,54.89066666666668,488.18
11,47.87109090909092,476.55
12,39.03128787878787,426.01
13,31.67923076923077,381.3
14,28.90802197802197,382.1
15,29.968238095238107,425.39
16,27.597166666666666,417.9
17,26.96676470588235,438.23
18,20.616061231510148,353.83
19,18.6601052631579,337.72
20,22.948642857142858,445.61
21,21.75777056277056,445.09
22,19.38498023715415,417.36
23,20.942427536231886,474.33
24,19.634707692307693,472.29
25,12.772535612535613,313.08
26,16.84310207991242,444.51
27,13.741977011494246,375.48
28,12.408978494623659,349.51
29,13.230759714076244,392.69
30,11.706060606060607,358.63
31,12.961849206349205,416.96
32,13.155142642642643,442.32
33,12.378036072509756,429.7
34,14.663275641025644,539.98
35,11.415091173054591,427.27
36,12.108571428571429,472.71
37,11.946982616866338,485.6
38,9.42649758454106,382.68
39,10.469190564292326,442.6
40,11.4018962585034,502.96
41,9.309094997999203,414.9
42,11.74783559577677,555.97
43,9.743282669461914,465.41
44,8.272647907647906,401.58
45,8.08216478696742,401.3
46,8.656997139253741,447.23
47,8.92595327405761,478.47
48,8.325818622883668,457.78
49,8.022787348068599,452.76
50,8.065168675339873,471.04
51,7.847573072707345,470.68
52,7.426753353454061,456.12
53,8.440836881401955,545.12
54,6.5525220705325955,417.78
55,7.3943409754802145,497.65
56,5.221941475230506,338.13
57,4.927648099171755,323.94
58,8.077942153605628,600.54
59,4.798616923039536,331.07
60,6.088602520450835,456.85
61,5.46976905866457,412.34
62,5.473501276354923,424.47
63,5.7389622994621154,463.29
64,6.203773629715913,521.89
65,4.489515875805139,359.72
66,5.930299728778835,523.21
67,5.2377772234793145,462.45
68,5.339291436331202,487.5
69,4.352199776475586,389.89
70,5.235793290709031,508.38
71,4.696516698528984,457.03
72,4.09143562496185,393.61
73,4.6138548540340665,472.75
74,4.507722385374758,471.85
75,3.6366234226665703,363.57
76,5.289639200097509,606.62
77,3.989528536333998,434.97
78,3.6857981982572086,403.21
79,4.039765873370614,470.81
80,3.4624458218110328,391.45
81,3.5767625805283183,424.88
82,3.7201526648587175,462.16
83,3.3591988106530346,416.82
84,3.751626259041214,504.33
85,3.0145534986310105,381.69
86,3.393241802417794,470.22
87,3.1827230764544208,446.33
88,3.247286288109148,475.74
89,2.609097139724808,353.29
90,3.2140311684121396,504.96
91,2.673492222161404,396.95
92,2.720900056956771,427.43
93,2.7080608325398874,443.88
94,2.750485707031337,480.12
95,2.9433456552953334,563.99
96,2.6630398096605608,512.49
97,2.0544423796927163,348.91
98,2.1118917078588835,406.49
99,1.981024195922511,400.97
100,1.7373383751010996,397.28
