percentage,gemiddeldNormTAT,gemiddeldWait
1,49.78,48.78
2,57.78,56.78
3,31.89,51.75
4,16.841666666666665,44.84
5,14.433333333333332,52.24
6,12.453999999999994,53.3
7,9.009333333333338,47.28
8,8.38154761904762,51.86
9,6.341944444444445,44.08
10,6.916999999999998,53.74
11,6.464818181818182,55.52
12,5.305378787878787,48.61
13,4.555961538461539,44.43
14,4.134945054945055,43.06
15,4.370952380952381,49.37
16,4.486791666666667,54.69
17,3.614742647058823,43.95
18,3.4754592363261083,44.55
19,3.173289473684211,41.65
20,3.206809523809523,44.84
21,3.337251082251081,50.1
22,3.536383399209486,57.32
23,3.2346376811594193,52.84
24,2.9250153846153855,48.68
25,2.7908689458689473,47.78
26,2.772483123517605,49.63
27,3.065172413793103,60.75
28,2.7231290322580652,52.62
29,2.3948274071358746,44.74
30,2.2811229946524065,42.7
31,2.4716451914098974,51.14
32,2.3560960960960964,49.3
33,2.360706313601051,51.48
34,2.1394102564102577,45.08
35,2.2518539488966325,51.47
36,2.213377630121816,51.59
37,2.18982276250881,52.68
38,2.1214202898550725,50.91
39,2.005494912118409,47.01
40,1.9210544217687087,44.54
41,2.3751222889155663,69.03
42,5.053876319758674,209.36
43,4.5984889533946145,191.51
44,4.711665945165946,204.71
45,4.983352130325815,225.25
46,4.586481897320743,209.0
47,4.701231916273041,223.02
48,4.711312944356309,231.73
49,4.517761256105005,226.77
50,4.605632665549262,240.05
51,4.610014249177933,248.07
52,3.748135591325733,195.08
53,3.988970083096796,219.1
54,4.455751231272284,259.95
55,3.9703374473627657,231.14
56,3.469992205813408,197.73
57,3.388452444440298,196.98
58,3.713390104879161,229.91
59,2.934228512065321,168.58
60,3.52350509571577,226.31
61,3.2052061017523874,203.34
62,3.152706338276198,204.51
63,3.1832529189432712,213.44
64,3.431466208385546,244.04
65,2.9898258378780946,205.26
66,3.141401885952759,227.48
67,2.8722085278164764,204.44
68,2.934907223661881,217.29
69,2.8557125822424667,215.38
70,2.9535051965573462,234.66
71,2.85090008915635,228.98
72,2.584787265872288,201.46
73,2.7157613176515185,224.64
74,2.583174174044871,212.48
75,2.4936325271090523,206.03
76,2.584219109965551,223.88
77,2.439679698821231,209.62
78,5.164259039206863,629.23
79,10.736305263807514,1507.16
80,8.176428353797387,1140.88
81,8.803573828406023,1286.01
82,8.112994318523514,1210.43
83,7.871875872531609,1212.46
84,8.181619136274499,1315.41
85,6.976588399815394,1134.02
86,8.2411913125091,1421.51
87,7.489020209665939,1326.78
88,7.055328394014598,1283.96
89,5.540036570309751,996.65
90,7.4617665205992365,1475.68
91,5.794298965924332,1137.49
92,5.563808120842157,1131.71
93,6.085852869161296,1319.32
94,5.844875577896716,1330.46
95,5.812075534404751,1393.16
96,5.428066496359576,1364.19
97,4.158283167125209,1047.55
98,9.195578371495431,2993.22
99,10.075972545107692,3731.33
100,7.033671614676549,3344.91
