percentage,gemiddeldNormTAT,gemiddeldWait
1,6.44,5.44
2,8.39,7.74
3,4.031666666666665,6.525
4,5.992083333333335,15.94
5,5.0992500000000005,17.66
6,4.888999999999999,21.075
7,4.946071428571428,25.605
8,5.095535714285715,30.735
9,5.678263888888889,41.255
10,5.1432222222222155,40.35
11,5.388810606060604,48.36
12,4.7890064102564125,46.9
13,4.950494505494508,52.535
14,6.000380952380953,72.645
15,4.573583333333334,55.795
16,5.492683823529413,75.21
17,4.844833161334712,69.515
18,4.970763157894739,76.61
19,5.481178571428568,92.235
20,5.820463015245623,105.68
21,4.932481884057972,91.825
22,5.932750000000002,121.13
23,5.191570655270652,107.935
24,5.559232804232805,124.08
25,5.9636206896551744,141.425
26,4.872158324063773,115.955
27,5.084445564516129,128.095
28,5.790769830659533,156.46
29,5.068256302521008,139.76
30,5.800259223509218,170.855
31,5.357635135135135,162.4
32,5.337074898785423,167.525
33,5.556019543464663,183.015
34,5.5096806039488975,187.02
35,5.382558265378033,189.1
36,5.602595959595962,205.125
37,5.294380717442693,197.575
38,5.65036125886525,220.67
39,5.5007925170068015,221.955
40,5.656836802413276,236.61
41,4.78218432510885,198.72
42,5.074701702560193,220.62
43,5.986928571428568,277.44
44,5.696547943133698,269.465
45,5.425291885836743,261.795
46,5.45336153710559,272.295
47,5.426781073988734,278.185
48,5.102468094405592,265.76
49,5.754029085854148,317.905
50,4.797901321398122,261.77
51,5.1961509613234975,298.3
52,4.928098620881157,286.495
53,5.023353058321479,301.78
54,5.218163724738508,327.135
55,5.806961068135644,383.12
56,5.070389453024385,333.1
57,5.350831215618779,365.5
58,4.9554641703367945,341.28
59,5.736820919872887,421.17
60,5.534587340974439,414.1
61,5.286021192308156,402.41
62,4.825637760984751,369.575
63,5.772406617192331,472.61
64,5.459335421557244,455.615
65,5.471827749691093,469.97
66,5.540844170216844,490.79
67,5.344401686574806,483.065
68,4.766522982570197,430.29
69,5.410960630539437,517.93
70,5.065349974497318,490.875
71,5.051551094099993,501.17
72,5.487271502702785,569.385
73,5.483218898062299,587.52
74,4.951701006570197,532.845
75,5.021988836935651,558.03
76,6.165369047146765,739.505
77,6.377769346859902,793.15
78,5.787264779130809,726.25
79,4.944329757669971,615.57
80,5.688044957047206,756.175
81,5.463168123038152,743.23
82,5.2235314707293465,723.195
83,5.733940158033936,837.115
84,5.365432969409069,797.155
85,5.612783605837969,871.69
86,5.152132873689911,813.94
87,5.566203202135364,930.5
88,5.879722272067534,1033.43
89,4.954687730232523,870.635
90,5.0907371805939015,937.38
91,5.308686203201043,1030.465
92,5.514696785746371,1124.66
93,5.374157774514539,1141.64
94,5.545019947028937,1252.775
95,5.172304862989294,1210.97
96,5.336916344653979,1343.68
97,4.952337890053246,1325.23
98,5.379941712444423,1612.385
99,5.083149097983883,1704.73
100,6.121471913254564,2784.23
