percentage,gemiddeldNormTAT,gemiddeldWait
1,68.185,67.185
2,78.49,80.16
3,38.12083333333334,76.09
4,23.53166666666667,71.305
5,18.871000000000002,75.09
6,14.392999999999995,72.555
7,12.654523809523809,75.09
8,12.821964285714284,89.395
9,10.098402777777777,79.6
10,9.944611111111113,87.545
11,7.404719696969694,70.89
12,7.076217948717951,74.59
13,6.251043956043958,70.225
14,6.248333333333335,76.055
15,6.452125,85.25
16,6.404099264705884,90.27
17,5.337495700034396,78.38
18,5.205815789473687,81.48
19,5.104166666666666,84.695
20,4.931520327498589,86.37
21,4.288740942028985,77.16
22,4.601599999999999,88.81
23,4.559109116809119,91.425
24,4.013366402116403,82.355
25,4.047543103448275,86.96
26,3.7526327400815718,82.09
27,3.6721875,83.785
28,3.5202899398395715,82.4
29,3.658176470588235,91.38
30,3.5420151222651217,90.645
31,3.005181365576104,74.7
32,3.710172064777326,104.73
33,3.549356394621637,102.835
34,3.0986062717770038,87.275
35,2.7844251484949143,76.98
36,2.975962121212122,88.135
37,3.057855226641997,94.8
38,3.1651906028368804,102.845
39,2.8250702380952397,90.11
40,2.9692239819004533,100.045
41,2.9614767779390423,103.13
42,2.85609831014548,100.445
43,2.8182175324675325,101.255
44,2.791455416558638,102.685
45,2.917684395090591,113.545
46,2.4335807773664704,87.695
47,2.7966671866999486,112.965
48,2.635391571969697,106.03
49,2.7015443171841333,113.595
50,2.475955608330288,101.82
51,2.3331265090543267,94.83
52,2.4455445256900745,105.605
53,2.3547889995258418,101.75
54,2.2959043579671485,100.425
55,2.5263447413658393,121.755
56,2.203446532289954,98.525
57,2.17161586682866,98.395
58,2.3960170905717386,120.58
59,2.381445891499261,122.85
60,2.3635883346433832,124.66
61,2.3280860335464615,124.71
62,2.3624438169937005,131.56
63,2.397904669140385,138.56
64,2.3742002598812353,140.36
65,2.207948085110093,126.935
66,2.1227283426161936,121.245
67,2.1307635192082093,125.69
68,2.236907762292585,141.405
69,2.1862236693145682,139.33
70,2.200671120243247,144.835
71,2.1502407752167945,142.44
72,2.129186596730823,143.375
73,2.4008047888355137,183.75
74,2.2133229553627096,163.885
75,2.3873872765278796,192.645
76,2.2951600076419227,185.645
77,2.386594800224028,204.68
78,2.5694839372538314,237.985
79,2.312997223231646,205.455
80,2.1842287864752348,191.08
81,2.3789394768446983,229.66
82,2.3114998436833147,224.71
83,2.3338137193503656,235.085
84,2.33606421734127,243.985
85,2.3066852348421762,246.49
86,2.3598417774999247,266.325
87,2.483856548266839,302.965
88,2.568911543212562,331.845
89,2.3522139565730757,297.57
90,2.4068676435938383,322.24
91,2.7167325227707777,411.435
92,2.5852111498537362,394.615
93,2.8792955526440562,491.005
94,2.777954624838946,490.27
95,3.057380669120934,596.74
96,3.228573429183959,689.785
97,3.1031902879197735,704.75
98,3.7754669110613106,1024.295
99,3.3826128612609327,993.35
100,5.431297631729997,2484.72
