percentage,gemiddeldNormTAT,gemiddeldWait
1,78.276,77.276
2,78.342,84.51
3,42.00933333333332,86.148
4,31.69866666666665,95.812
5,22.2582,89.326
6,19.492733333333348,95.574
7,15.127857142857138,87.794
8,13.10982142857143,88.612
9,13.466916666666668,104.774
10,11.465711111111109,98.994
11,10.951527272727274,105.084
12,10.096272727272726,105.464
13,9.514769230769227,108.592
14,9.908824175824176,123.092
15,9.183130952380957,122.892
16,8.764919117647063,126.112
17,7.721490196078432,117.212
18,7.673660818713452,124.758
19,7.636529573934841,132.528
20,7.632021645021639,141.104
21,6.756980237154153,129.724
22,6.638326231884056,134.186
23,6.627009230769226,141.55
24,6.637874643874642,148.894
25,6.384259259259261,148.882
26,6.295371592775043,154.462
27,6.087662365591394,155.058
28,5.837648888074292,153.756
29,5.840999999999996,161.488
30,5.656791596638657,161.5
31,5.394345259545265,158.462
32,5.683618776671411,175.262
33,5.401590890688259,171.148
34,5.39395975609756,177.552
35,5.375888339680738,182.702
36,5.071298097251581,177.024
37,5.538447386912602,204.216
38,5.19747086031452,195.29
39,4.901480605007958,188.092
40,5.088688819527813,204.206
41,4.785935897435896,195.248
42,4.839618717411173,204.968
43,4.480732756132756,191.294
44,4.771269898885137,213.794
45,4.664127995324371,214.468
46,4.757779438732979,226.96
47,4.711162381539961,230.862
48,4.660911538461538,234.39
49,4.543954277563231,233.612
50,4.5211996220941355,238.902
51,4.239421596244131,226.022
52,4.539245299804916,254.24
53,4.14590793039615,232.63
54,4.174763481430847,241.594
55,4.374941977958749,264.236
56,4.2954357121349,266.114
57,4.140555567216605,260.836
58,3.8997338272919446,247.988
59,4.169815672220067,278.704
60,4.0432113127821045,274.31
61,3.982486553975009,275.976
62,4.176905468458379,301.43
63,3.7779826250087667,269.986
64,3.979081072229671,297.594
65,3.761759249782776,283.48
66,3.5603212362491976,269.946
67,4.083894609561275,334.096
68,3.830519969124396,315.378
69,3.712777281270868,311.012
70,3.6142348903292194,308.572
71,3.645732841243667,321.116
72,3.7125674298702434,338.426
73,3.5928968574373474,332.344
74,3.533860746283455,334.524
75,3.590766213153001,351.52
76,3.371134399143827,330.9
77,3.324193620192575,333.398
78,3.5584645734828046,378.242
79,3.476959632031143,377.394
80,3.4825647697205926,389.926
81,3.3863102219435937,386.522
82,3.2948406231939016,383.864
83,3.271896790418332,392.312
84,3.3859622467336057,426.054
85,3.111367506486652,390.492
86,3.2038363385583386,422.022
87,3.1474815849172946,426.538
88,2.9582268677382144,404.222
89,3.270240378122499,487.316
90,3.027597470661288,454.566
91,3.052448361611642,481.36
92,3.105013258799987,518.932
93,3.0202236495384893,524.928
94,3.000126884138987,550.174
95,2.695535260676827,496.518
96,2.6562525781017543,518.644
97,2.8463090032061147,624.348
98,2.686155572893809,623.0
99,2.4339428998110706,602.18
100,2.3257398900646784,725.33
