percentage,gemiddeldNormTAT,gemiddeldWait
1,1.006,0.006
2,1.005,0.006
3,1.014,0.03
4,1.0101666666666667,0.032
5,1.0175,0.074
6,1.022,0.112
7,1.0327142857142857,0.208
8,1.0347142857142857,0.258
9,1.0401944444444444,0.338
10,1.0400222222222224,0.382
11,1.0303999999999998,0.318
12,1.0513636363636365,0.596
13,1.056,0.718
14,1.0717032967032967,0.996
15,1.0529630952380955,0.796
16,1.065580882352941,1.068
17,1.0651764705882347,1.136
18,1.0676023391812863,1.264
19,1.0985997493734339,1.974
20,1.0754718614718612,1.61
21,1.074,1.668
22,1.089713768115942,2.128
23,1.1082307692307696,2.726
24,1.1131339031339036,2.986
25,1.1129735449735445,3.124
26,1.12906157635468,3.762
27,1.1200795698924733,3.66
28,1.1101006231671553,3.492
29,1.1494278074866309,4.994
30,1.1433126050420166,4.962
31,1.1306825396825397,4.714
32,1.173137980085349,6.486
33,1.1631018218623488,6.328
34,1.1578439024390244,6.38
35,1.1496150230937523,6.248
36,1.1792262156448203,7.8
37,1.1900891963109355,8.562
38,1.1695541165587418,7.892
39,1.1829020299609205,8.826
40,1.2025560784313727,10.132
41,1.1695505279034695,8.75
42,1.2317601193355905,12.392
43,1.2233565897065906,12.3
44,1.2127863840636066,12.06
45,1.2808480420806545,16.442
46,1.2457706955635817,14.85
47,1.2802394046989483,17.43
48,1.2785315247252753,17.83
49,1.2666507114775782,17.604
50,1.27015312822079,18.334
51,1.2534487971306094,17.67
52,1.3384511597744773,24.324
53,1.3145810045662094,23.314
54,1.3219815037593978,24.506
55,1.3019969098412134,23.64
56,1.3064901912074673,24.776
57,1.3414831661139333,28.354
58,1.3369086702202935,28.808
59,1.3448212373639543,30.354
60,1.4022344980861834,36.266
61,1.3755727370915216,34.742
62,1.4218462112728625,40.008
63,1.4653777701802353,45.282
64,1.3843595756718532,38.392
65,1.4774897074010864,49.032
66,1.4647217497543912,48.958
67,1.477288433796366,51.664
68,1.5290607441310986,58.932
69,1.5276690159345103,60.526
70,1.5781639066065671,68.244
71,1.6104820149075356,74.112
72,1.5620676303872707,70.118
73,1.6097288610090164,78.168
74,1.621988635890334,82.084
75,1.6155962409572826,83.496
76,1.6379440966851204,88.946
77,1.746932094437498,107.18
78,1.760836001946287,112.518
79,1.8085003474740906,123.23
80,1.8435840230558376,132.57
81,1.901842374873005,146.002
82,1.9059850239787812,151.606
83,1.9208371972497122,158.946
84,2.019055209090898,182.01
85,2.1276391239516736,208.624
86,2.1749852870755855,225.192
87,2.168032743784272,232.23
88,2.270930360171955,262.2
89,2.345647981046787,288.884
90,2.5895749960904353,356.746
91,2.6030955658653228,376.19
92,2.824442330703,449.542
93,2.8065008082809304,469.386
94,3.033960084229202,559.354
95,3.2521909612541227,660.532
96,3.531497808936739,792.46
97,3.792470152882167,943.466
98,4.288663276122087,1213.116
99,4.743319522461755,1580.544
100,5.2095579492229565,2398.476
